path,berv,obs_key,order_index
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord026.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,26
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord027.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,27
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord028.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,28
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord029.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,29
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord030.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,30
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord031.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,31
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord032.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,32
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord033.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,33
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord034.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,34
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord035.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,35
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord036.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,36
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord037.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,37
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord038.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,38
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord039.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,39
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord040.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,40
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord041.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,41
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord042.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,42
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord043.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,43
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord044.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,44
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord045.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,45
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord046.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,46
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord047.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,47
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord048.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,48
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord049.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,49
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord050.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,50
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord051.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,51
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord052.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,52
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord053.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,53
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord054.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,54
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord055.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,55
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord056.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,56
./order1d_carmenes/car-20190702T21h10m58s-sci-amap-vis_A_ord057.fits,3894.3650000000002,car-20190702T21h10m58s-sci-amap-vis_A,57
